geneid,iDUX4_logFC,iDUX4_logCPM,iDUX4_LR,iDUX4_pval,iDUX4_fdr,hl.ratio,area,protein.length,rep,IQR,QCoD,count,mean,sd,zscore,pval
CDS1,5.50197587,3.24243886,59.80290108,1.05E-14,6.85E-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC2N,5.494089896,3.593689528,79.30986758,5.31E-19,4.53E-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PRAMEF21,5.484861584,5.300999836,285.7826233,4.13E-64,1.32E-62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HBA1,5.47037592,5.413728023,309.6066364,2.66E-69,9.21E-68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DEFB103A,5.4499525,5.225127542,269.4753321,1.48E-60,4.46E-59,3.914318947,343167.8359,67,3.666666667,0.897747311,0.229349556,3,-0.013382858,0.76465934,5.136538063,2.80E-07
PSPN,5.417390514,3.840194313,95.50146599,1.48E-22,1.53E-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PRR4,5.399370225,5.40192037,304.834222,2.91E-68,9.95E-67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARC,5.326789485,5.887313725,428.4971329,3.45E-95,1.71E-93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PRRG4,5.305105467,2.326696641,26.18396781,3.10E-07,1.10E-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CXADR,5.280278986,4.546791082,160.9789781,6.91E-37,1.19E-35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GPBAR1,5.272644437,2.474807681,29.96104767,4.41E-08,1.70E-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SLC10A4,5.257816933,2.504626888,30.7392502,2.95E-08,1.16E-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RRAD,5.257755195,6.677915874,743.5003238,1.04E-163,1.11E-161,6.292706874,1916397.566,308,3.444444444,1.892664348,0.300771097,9,-0.005620269,0.284202957,22.16137092,8.10E-109
CTD-2611O12.2,5.254571532,6.888880742,861.4034414,2.41E-189,3.12E-187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TSPAN13,5.243202026,3.363616658,64.23338582,1.11E-15,7.65E-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F2RL1,5.183939771,2.531858619,31.22914031,2.29E-08,9.16E-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ODC1,5.179781713,10.6462884,5003.946747,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MYCT1,5.157419393,1.942595113,17.65938108,2.64E-05,7.36E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ATP8A1,5.133893547,3.688490756,82.20646948,1.23E-19,1.08E-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HBEGF,5.078525641,6.158408388,505.1546028,7.19E-112,4.37E-110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FOSB,5.038667687,3.822823998,90.27262308,2.08E-21,2.02E-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OSR2,4.989542707,3.459440625,67.29404888,2.34E-16,1.69E-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VMO1,4.978404428,3.062409813,48.47242202,3.35E-12,1.84E-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZNF214,4.958504267,4.761419463,181.654756,2.11E-41,4.14E-40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ELOVL7,4.953624117,3.098233997,49.78371575,1.72E-12,9.69E-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEFH,4.942389466,3.303428109,58.93354232,1.63E-14,1.05E-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TPBG,4.92719317,3.758859147,84.63982585,3.58E-20,3.27E-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SCN3B,4.921332429,2.049154589,18.84142157,1.42E-05,4.10E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRIM64C,4.893906437,2.163307028,21.06155363,4.45E-06,1.38E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KIAA0040,4.893274026,2.554750571,30.66424862,3.07E-08,1.21E-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KIAA0040,4.893274026,2.554750571,30.66424862,3.07E-08,1.21E-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CLDN1,4.892099425,2.585068366,31.51949951,1.97E-08,7.92E-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PDGFRA,4.867952995,6.094600604,469.9310856,3.32E-104,1.81E-102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
INSM1,4.846207315,1.937421691,16.5637591,4.70E-05,1.26E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRIM53AP,4.843696242,8.131108849,1930.585684,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VAV3,4.837908823,3.622819629,75.1042336,4.47E-18,3.59E-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
