ensembl_transcript_id	molecule	timepoint	replicate	count
ENST00000338895.7_602_1424	rna	14h	rep3	2
ENST00000361605.3_100_829	rna	0h	rep1	99
ENST00000361605.3_100_829	rna	0h	rep2	79
ENST00000361605.3_100_829	rna	0h	rep3	64
ENST00000361605.3_100_829	rna	14h	rep1	53
ENST00000361605.3_100_829	rna	14h	rep2	41
ENST00000361605.3_100_829	rna	14h	rep3	46
ENST00000378156.8_1194_4545	rna	0h	rep1	24
ENST00000378156.8_1194_4545	rna	0h	rep2	18
ENST00000378156.8_1194_4545	rna	0h	rep3	23
ENST00000378156.8_1194_4545	rna	14h	rep1	4
ENST00000378156.8_1194_4545	rna	14h	rep2	4
ENST00000378156.8_1194_4545	rna	14h	rep3	4
ENST00000343813.9_30_882	rna	0h	rep1	188
ENST00000343813.9_30_882	rna	0h	rep2	205
ENST00000343813.9_30_882	rna	0h	rep3	192
ENST00000343813.9_30_882	rna	14h	rep1	72
ENST00000343813.9_30_882	rna	14h	rep2	58
ENST00000343813.9_30_882	rna	14h	rep3	60
ENST00000361521.8_1140_2103	rna	0h	rep1	118
ENST00000361521.8_1140_2103	rna	0h	rep2	129
ENST00000361521.8_1140_2103	rna	0h	rep3	111
ENST00000361521.8_1140_2103	rna	14h	rep1	37
ENST00000361521.8_1140_2103	rna	14h	rep2	41
ENST00000361521.8_1140_2103	rna	14h	rep3	57
ENST00000377705.5_34_2140	rna	0h	rep1	146
ENST00000377705.5_34_2140	rna	0h	rep2	162
ENST00000377705.5_34_2140	rna	0h	rep3	129
ENST00000377705.5_34_2140	rna	14h	rep1	134
ENST00000377705.5_34_2140	rna	14h	rep2	95
ENST00000377705.5_34_2140	rna	14h	rep3	98
ENST00000377674.8_159_2223	rna	0h	rep1	25
ENST00000377674.8_159_2223	rna	0h	rep2	17
ENST00000377674.8_159_2223	rna	0h	rep3	22
ENST00000377674.8_159_2223	rna	14h	rep1	6
ENST00000377674.8_159_2223	rna	14h	rep2	9
ENST00000377674.8_159_2223	rna	14h	rep3	13
ENST00000377658.8_53_1844	rna	0h	rep1	46
ENST00000377658.8_53_1844	rna	0h	rep2	35
ENST00000377658.8_53_1844	rna	0h	rep3	35
ENST00000377658.8_53_1844	rna	14h	rep1	98
ENST00000377658.8_53_1844	rna	14h	rep2	70
ENST00000377658.8_53_1844	rna	14h	rep3	99
ENST00000377648.4_383_1283	rna	0h	rep1	15
ENST00000377648.4_383_1283	rna	0h	rep2	15
ENST00000377648.4_383_1283	rna	0h	rep3	20
ENST00000377648.4_383_1283	rna	14h	rep1	12
ENST00000377648.4_383_1283	rna	14h	rep2	12
ENST00000377648.4_383_1283	rna	14h	rep3	10
ENST00000054650.8_159_876	rna	0h	rep1	13
ENST00000054650.8_159_876	rna	0h	rep2	8.5
ENST00000054650.8_159_876	rna	0h	rep3	12.33
ENST00000054650.8_159_876	rna	14h	rep1	5.33
ENST00000054650.8_159_876	rna	14h	rep2	4.17
ENST00000054650.8_159_876	rna	14h	rep3	7
ENST00000307896.10_39_753	rna	0h	rep1	13
ENST00000307896.10_39_753	rna	0h	rep2	8.5
ENST00000307896.10_39_753	rna	0h	rep3	12.33
ENST00000307896.10_39_753	rna	14h	rep1	5.33
ENST00000307896.10_39_753	rna	14h	rep2	4.17
ENST00000307896.10_39_753	rna	14h	rep3	7
ENST00000377627.7_28_553	rna	0h	rep1	6
ENST00000377627.7_28_553	rna	0h	rep2	4
ENST00000377627.7_28_553	rna	0h	rep3	5.33
ENST00000377627.7_28_553	rna	14h	rep1	3.33
ENST00000377627.7_28_553	rna	14h	rep2	1.67
ENST00000377627.7_28_553	rna	14h	rep3	6
ENST00000377577.9_125_1802	rna	0h	rep1	148
ENST00000377577.9_125_1802	rna	0h	rep2	156
ENST00000377577.9_125_1802	rna	0h	rep3	141
ENST00000377577.9_125_1802	rna	14h	rep1	64
ENST00000377577.9_125_1802	rna	14h	rep2	78
ENST00000377577.9_125_1802	rna	14h	rep3	98
ENST00000473578.5_52_292	rna	0h	rep1	26
